Timestep    Total   Potential   Kinetic
0: -6354.850664363538 -6740.3945105433895 385.5438461798514
1: -6354.8506640319565 -6740.374159467308 385.52349543535223
2: -6354.850663464803 -6740.32250585808 385.47184239327726
3: -6354.850662661784 -6740.239559248783 385.38889658699935
4: -6354.850661622419 -6740.12533376738 385.2746721449616
5: -6354.850660346094 -6739.9798481430735 385.1291877969802
6: -6354.850658831984 -6739.803125714843 384.95246688285914
7: -6354.850657079101 -6739.595194442401 384.7445373632999
8: -6354.8506550862885 -6739.356086919393 384.5054318331053
9: -6354.850652852252 -6739.0858403889 384.23518753664786
10: -6354.850650375487 -6738.784496761081 383.9338463855941
11: -6354.850647654354 -6738.452102633213 383.60145497885884
12: -6354.850644687042 -6738.088709311807 383.23806462476443
13: -6354.850641471568 -6737.694372836942 382.843731365374
14: -6354.850638005831 -6737.269154008807 382.41851600297656
15: -6354.850634287524 -6736.813118416205 381.9624841286803
16: -6354.850630314219 -6736.326336467305 381.475706153085
17: -6354.850626083336 -6735.808883422332 380.95825733899653
18: -6354.850621592111 -6735.260839428235 380.41021783612433
19: -6354.850616837668 -6734.682289555407 379.8316727177389
20: -6354.850611817013 -6734.073323836239 379.2227120192261
21: -6354.850606526957 -6733.43403730545 378.5834307784932
22: -6354.850600964232 -6732.764530042396 377.9139290781635
23: -6354.850595125408 -6732.064907214923 377.2143120895145
24: -6354.850589006929 -6731.3352791250245 376.48469011809567
25: -6354.850582605155 -6730.575761256101 375.72517865094585
26: -6354.850575916261 -6729.786474321629 374.93589840536805
27: -6354.850568936401 -6728.967544315581 374.11697537918
28: -6354.850561661522 -6728.119102563877 373.26854090235486
29: -6354.850554087552 -6727.241285777553 372.3907316900001
30: -6354.850546210291 -6726.334236106868 371.4836898965771
31: -6354.85053802545 -6725.398101196729 370.5475631712785
32: -6354.850529528663 -6724.433034243157 369.5825047144937
33: -6354.850520715472 -6723.4391940507185 368.588673335246
34: -6354.850511581356 -6722.416745090893 367.5662335095366
35: -6354.850502121766 -6721.365857561241 366.51535543947455
36: -6354.850492332004 -6720.286707445124 365.4362151131199
37: -6354.8504822074065 -6719.179476572308 364.3289943649012
38: -6354.850471743239 -6718.0443526797835 363.1938809365444
39: -6354.8504609347265 -6716.881529473089 362.0310685383626
40: -6354.850449777066 -6715.691206687896 360.8407569108298
41: -6354.850438265443 -6714.473590151734 359.62315188629157
42: -6354.850426395025 -6713.228891845746 358.3784654507208
43: -6354.850414160957 -6711.957329966329 357.10691580537195
44: -6354.850401558437 -6710.6591289866665 355.8087274282293
45: -6354.8503885826385 -6709.334519717743 354.4841311351045
46: -6354.850375228743 -6707.983739369011 353.1333641402679
47: -6354.850361492039 -6706.607031608493 351.75667011645373
48: -6354.850347367765 -6705.204646621896 350.35429925413126
49: -6354.850332851253 -6703.776841171134 348.9265083198806
50: -6354.850317937913 -6702.32387865165 347.4735607137372
51: -6354.850302623199 -6700.846029148553 345.9957265253529
52: -6354.8502869026515 -6699.343569491486 344.4932825888344
53: -6354.850270771915 -6697.816783308012 342.96651253609673
54: -6354.850254226735 -6696.265961075318 341.4157068485826
55: -6354.850237262954 -6694.691400170146 339.8411629071922
56: -6354.850219876548 -6693.093404916806 338.2431850402582
57: -6354.850202063598 -6691.472286633008 336.62208456940976
58: -6354.850183820432 -6689.828363673592 334.9781798531608
59: -6354.8501651434 -6688.161961471458 333.3117963280585
60: -6354.850146029121 -6686.473412576337 331.6232665472165
61: -6354.8501264743445 -6684.763056690424 329.9129302160794
62: -6354.85010647603 -6683.0312407012625 328.18113422523214
63: -6354.850086031348 -6681.278318711442 326.4282326800943
64: -6354.850065137659 -6679.504652064978 324.65458692731903
65: -6354.850043792584 -6677.710609370311 322.86056557772775
66: -6354.850021993962 -6675.89656651957 321.04654452560766
67: -6354.849999739898 -6674.062906704087 319.21290696418964
68: -6354.8499770287435 -6672.210020425887 317.3600433971432
69: -6354.84995385913 -6670.338305505032 315.488351645901
70: -6354.849930229991 -6668.448167082639 313.5982368526486
71: -6354.849906140546 -6666.540017619352 311.69011147880485
72: -6354.849881590324 -6664.614276889134 309.76439529881003
73: -6354.849856579183 -6662.671371968247 307.8215153890634
74: -6354.849831107334 -6660.711737219167 305.861906111833
75: -6354.849805175287 -6658.735814269247 303.88600909396035
76: -6354.849778783976 -6656.744051984193 301.8942732002168
77: -6354.849751934616 -6654.736906435739 299.8871545011237
78: -6354.8497246289035 -6652.714840863985 297.86511623508153
79: -6354.849696868814 -6650.678325633478 295.82862876466413
80: -6354.849668656848 -6648.6278381837465 293.77816952689903
81: -6354.849639995813 -6646.563862973215 291.71422297740173
82: -6354.849610888977 -6644.486891417184 289.63728052820716
83: -6354.849581340053 -6642.397421819215 287.5478404791622
84: -6354.849551353184 -6640.295959295918 285.44640794273346
85: -6354.849520932954 -6638.183015695062 283.3334947621081
86: -6354.849490084417 -6636.059109506868 281.20961942245066
87: -6354.849458813073 -6633.92476576828 279.0753069552064
88: -6354.849427124928 -6631.780515960257 276.93108883532835
89: -6354.849395026438 -6629.626897897762 274.7775028713242
90: -6354.849362524581 -6627.464455612606 272.6150930880244
91: -6354.849329626781 -6625.293739228758 270.4444096019771
92: -6354.8492963410035 -6623.115304830395 268.2660084893914
93: -6354.849262675714 -6620.9297143222575 266.08045164654277
94: -6354.849228639869 -6618.737535282454 263.88830664258495
95: -6354.849194242956 -6616.539340807662 261.69014656470534
96: -6354.849159494934 -6614.335709350513 259.4865498555793
97: -6354.849124406351 -6612.127224549429 257.2781001430786
98: -6354.849088988246 -6609.914475050466 255.06538606221932
99: -6354.849053252144 -6607.698054321462 252.84900106931826
100: -6354.849017210132 -6605.478560458499 250.62954324836647
101: -6354.848980874837 -6603.25659598445 248.4076151096123
102: -6354.848944259347 -6601.032767639731 246.18382338038387
103: -6354.848907377309 -6598.807686165484 243.95877878817424
104: -6354.848870242854 -6596.581966078886 241.73309583603145
105: -6354.8488328706735 -6594.356225440983 239.50739257030867
106: -6354.848795275918 -6592.131085616767 237.28229034084924
107: -6354.848757474254 -6589.907171027928 235.05841355367403
108: -6354.848719481836 -6587.685108898114 232.83638941627757
109: -6354.848681315336 -6585.465528990969 230.61684767563307
110: -6354.848642991871 -6583.249063340903 228.4004203490318
111: -6354.848604529021 -6581.036345976911 226.18774144789023
112: -6354.848565944831 -6578.828012639504 223.97944669467356
113: -6354.848527257843 -6576.624700490941 221.7761732330983
114: -6354.848488486958 -6574.427047818753 219.57855933179474
115: -6354.848449651532 -6572.235693733148 217.38724408161536
116: -6354.848410771346 -6570.051277858141 215.20286708679498
117: -6354.848371866563 -6567.874440016749 213.02606815018603
118: -6354.8483329577 -6565.705819910498 210.8574869527973
119: -6354.848294065661 -6563.546056793545 208.69776272788408
120: -6354.848255211698 -6561.3957891415475 206.54753392984904
121: -6354.848216417345 -6559.25565431558 204.40743789823478
122: -6354.848177704515 -6557.126288221598 202.27811051708278
123: -6354.848139095321 -6555.008324965287 200.16018586996555
124: -6354.848100612195 -6552.902396503206 198.0542958910106
125: -6354.84806227777 -6550.809132289996 195.96107001222617
126: -6354.84802411495 -6548.7291589224305 193.8811348074802
127: -6354.847986146796 -6546.663099780269 191.8151136334725
128: -6354.847948396545 -6544.611574664607 189.76362626806247
129: -6354.847910887576 -6542.575199433898 187.72728854632203
130: -6354.847873643408 -6540.5545856381 185.7067119946926
131: -6354.847836687612 -6538.550340151252 183.7025034636406
132: -6354.847800043911 -6536.563064803115 181.7152647592042
133: -6354.847763735954 -6534.5933560097965 179.74559227384236
134: -6354.84772778748 -6532.641804404478 177.79407661699784
135: -6354.847692222197 -6530.708994468001 175.86130224580376
136: -6354.847657063745 -6528.795504160093 173.94784709634732
137: -6354.847622335721 -6526.901904551662 172.05428221594087
138: -6354.847588061609 -6525.028759458436 170.18117139682755
139: -6354.847554264735 -6523.176625076504 168.32907081176904
140: -6354.8475209683 -6521.346049620258 166.49852865195805
141: -6354.8474881952925 -6519.537572963001 164.69008476770927
142: -6354.84745596848 -6517.751726280851 162.9042703123702
143: -6354.847424310386 -6515.9890317002955 161.14160738990998
144: -6354.847393243251 -6514.250001949886 159.40260870663477
145: -6354.847362788998 -6512.53514001647 157.68777722747234
146: -6354.8473329692 -6510.844938806483 155.99760583728303
147: -6354.8473038051125 -6509.179880812746 154.3325770076331
148: -6354.847275317511 -6507.540437786989 152.69316246947787
149: -6354.847247526792 -6505.927070418973 151.07982289218154
150: -6354.847220452929 -6504.340228022243 149.49300756931365
151: -6354.847194115338 -6502.780348226977 147.9331541116394
152: -6354.8471685329605 -6501.247856680683 146.40068814772215
153: -6354.847143724219 -6499.743166756763 144.89602303254364
154: -6354.847119706964 -6498.266679271512 143.41955956454768
155: -6354.847096498423 -6496.818782209908 141.97168571148532
156: -6354.847074115253 -6495.399850460704 140.55277634545124
157: -6354.847052573483 -6494.010245560949 139.16319298746626
158: -6354.847031888417 -6492.650315450385 137.80328356196813
159: -6354.847012074765 -6491.320394236315 136.47338216154986
160: -6354.846993146505 -6490.02080196877 135.17380882226504
161: -6354.846975116841 -6488.751844426665 133.9048693098239
162: -6354.846957998318 -6487.513812915284 132.66685491696492
163: -6354.846941802689 -6486.306984074982 131.46004227229307
164: -6354.846926540932 -6485.13161970177 130.284693160838
165: -6354.846912223229 -6483.987966579819 129.14105435658962
166: -6354.846898858983 -6482.876256326215 128.02935746723205
167: -6354.846886456774 -6481.796705248064 126.94981879129034
168: -6354.84687502433 -6480.749514212214 125.9026391878844
169: -6354.8468645685725 -6479.734868527829 124.88800395925684
170: -6354.846855095581 -6478.752937841819 123.90608274623803
171: -6354.846846610562 -6477.8038760473355 122.95702943677352
172: -6354.846839117853 -6476.887821205488 122.04098208763521
173: -6354.846832620943 -6476.0048954803515 121.15806285940849
174: -6354.846827122494 -6475.1552050873215 120.30837796482746
175: -6354.846822624195 -6474.338840254711 119.49201763051607
176: -6354.846819126971 -6473.555875199136 118.70905607216457
177: -6354.846816630791 -6472.806368113951 117.95955148316015
178: -6354.846815134828 -6472.090361171484 117.24354603665556
179: -6354.846814637306 -6471.407880538367 116.56106590106103
180: -6354.84681513569 -6470.758936404586 115.91212126889629
181: -6354.846816626507 -6470.143523025458 115.29670639895181
182: -6354.846819105436 -6469.561618777095 114.71479967165811
183: -6354.846822567379 -6469.013186224945 114.16636365756607
184: -6354.846827006366 -6468.498172205173 113.65134519880769
185: -6354.846832415573 -6468.016507918969 113.16967550339675
186: -6354.846838787439 -6467.568109039641 112.72127025220159
187: -6354.846846113571 -6467.152875831988 112.30602971841728
188: -6354.846854384781 -6466.770693284115 111.92383889933343
189: -6354.846863591159 -6466.421431251344 111.57456766018544
190: -6354.846873721978 -6466.104944611838 111.25807088985918
191: -6354.846884765854 -6465.821073434056 110.97418866820239
192: -6354.846896710644 -6465.569643155326 110.72274644468258
193: -6354.846909543519 -6465.350464771634 110.50355522811385
194: -6354.846923250967 -6465.163335038132 110.3164117871648
195: -6354.846937818858 -6465.008036680205 110.16109886134649
196: -6354.846953232391 -6464.8843386145545 110.03738538216388
