Timestep    Total   Potential   Kinetic
0: -1170.8934791112656 -1250.660136262617 79.76665715135138
1: -1170.8934788433066 -1250.652217082425 79.75873823911839
2: -1170.8934785456104 -1250.6389160139104 79.74543746829991
3: -1170.8934782182396 -1250.6202373375368 79.72675911929726
4: -1170.8934778612233 -1250.5961859559309 79.70270809470765
5: -1170.893477474563 -1250.5667673932417 79.67328991867865
6: -1170.8934770582289 -1250.5319877949064 79.63851073667752
7: -1170.8934766121615 -1250.4918539278374 79.59837731567582
8: -1170.8934761362743 -1250.44637318102 79.5528970447455
9: -1170.8934756304461 -1250.3955535665118 79.50207793606558
10: -1170.8934750945323 -1250.339403720868 79.44592862633559
11: -1170.8934745283548 -1250.2779329069479 79.38445837859304
12: -1170.8934739317074 -1250.211151016139 79.31767708443165
13: -1170.893473304357 -1250.1390685709732 79.24559526661618
14: -1170.8934726460434 -1250.0616967281335 79.16822408209009
15: -1170.8934719564759 -1249.9790472818465 79.08557532537063
16: -1170.8934712353378 -1249.891132667665 78.99766143232735
17: -1170.8934704822834 -1249.7979659666216 78.90449548433827
18: -1170.8934696969402 -1249.6995609097578 78.80609121281755
19: -1170.8934688789152 -1249.5959318830255 78.70246300411027
20: -1170.8934680277828 -1249.4870939325276 78.59362590474494
21: -1170.8934671430927 -1249.3730627701332 78.4795956270404
22: -1170.8934662243746 -1249.2538547794313 78.36038855505677
23: -1170.8934652711282 -1249.129487022013 78.23602175088492
24: -1170.8934642828324 -1248.9999772440983 78.10651296126588
25: -1170.8934632589423 -1248.8653438834729 77.97188062453056
26: -1170.8934621988915 -1248.7256060767452 77.83214387785371
27: -1170.8934611020902 -1248.5807836668998 77.68732256480966
28: -1170.893459967925 -1248.4308972111478 77.53743724322268
29: -1170.893458795768 -1248.2759679890692 77.382509193301
30: -1170.8934575849669 -1248.116018011011 77.22256042604408
31: -1170.893456334849 -1247.9510700267608 77.0576136919118
32: -1170.8934550447282 -1247.781147534474 76.88769248974592
33: -1170.8934537138973 -1247.606274789827 76.7128210759297
34: -1170.8934523416315 -1247.4264768154073 76.53302447377581
35: -1170.893450927194 -1247.2417794103224 76.34832848312836
36: -1170.8934494698267 -1247.0522091599935 76.15875969016687
37: -1170.8934479687653 -1246.857793446164 75.96434547739867
38: -1170.8934464232277 -1246.6585604570532 75.76511403382555
39: -1170.8934448324173 -1246.4545391976876 75.56109436527025
40: -1170.8934431955313 -1246.2457595003798 75.35231630484854
41: -1170.893441511755 -1246.0322520353266 75.13881052357154
42: -1170.8934397802636 -1245.8140483213253 74.9206085410618
43: -1170.8934380002254 -1245.5911807365937 74.69774273636827
44: -1170.8934361708014 -1245.363682529664 74.4702463588626
45: -1170.8934342911473 -1245.1315878303476 74.23815353920033
46: -1170.8934323604126 -1244.8949316607418 74.00149930032921
47: -1170.893430377747 -1244.6537499462738 73.76031956852668
48: -1170.8934283422939 -1244.4080795267428 73.51465118444885
49: -1170.8934262532005 -1244.157958167371 73.26453191417038
50: -1170.893424109611 -1243.9034245698099 73.01000046019895
51: -1170.8934219106732 -1243.6445183831145 72.75109647244125
52: -1170.8934196555383 -1243.3812802146413 72.48786055910284
53: -1170.89341734336 -1243.1137516408608 72.22033429750083
54: -1170.8934149733007 -1242.841975218068 71.94856024476736
55: -1170.8934125445298 -1242.5659944929535 71.6725819484236
56: -1170.893410056226 -1242.285854013028 71.39244395680207
57: -1170.8934075075772 -1242.0015993368725 71.10819182929518
58: -1170.893404897784 -1241.7132770441913 70.8198721464074
59: -1170.89340222606 -1241.420934745648 70.527532519588
60: -1170.8933994916385 -1241.1246210924596 70.23122160082102
61: -1170.8933966937643 -1240.8243857857135 69.93098909194912
62: -1170.8933938317 -1240.5202795854073 69.62688575370734
63: -1170.8933909047357 -1240.212354319177 69.31896341444114
64: -1170.8933879121753 -1239.900662890662 69.00727497848683
65: -1170.8933848533488 -1239.5852592875353 68.69187443418646
66: -1170.8933817276172 -1239.2661985891311 68.37281686151394
67: -1170.8933785343597 -1238.943536973646 68.05015843928624
68: -1170.8933752729886 -1238.6173317249231 67.72395645193461
69: -1170.8933719429465 -1238.2876412387554 67.39426929580884
70: -1170.893368543711 -1237.9545250287008 67.06115648498982
71: -1170.893365074787 -1237.6180437313706 66.72467865658359
72: -1170.8933615357196 -1237.2782591111904 66.38489757547077
73: -1170.8933579260938 -1236.9352340645783 66.04187613848445
74: -1170.8933542455295 -1236.5890326235212 65.69567837799167
75: -1170.8933504936917 -1236.2397199585416 65.34636946484987
76: -1170.8933466702829 -1235.8873623809966 64.99401571071368
77: -1170.893342775058 -1235.5320273447228 64.63868456966466
78: -1170.893338807815 -1235.1737834469534 64.28044463913838
79: -1170.8933347683967 -1234.8127004285182 63.91936566012151
80: -1170.893330656702 -1234.4488491732964 63.55551851659445
81: -1170.8933264726788 -1234.082301706871 63.18897523419216
82: -1170.8933222163307 -1233.7131311943897 62.81980897805887
83: -1170.8933178877144 -1233.3414119375843 62.44809404986985
84: -1170.8933134869449 -1232.967219370942 62.07390588399731
85: -1170.893309014197 -1232.5906300569907 61.697321042793554
86: -1170.8933044697046 -1232.211721680674 61.31841721096926
87: -1170.8932998537614 -1231.8305730428028 60.937273189041335
88: -1170.8932951667332 -1231.4472640525623 60.55396888582914
89: -1170.8932904090393 -1231.0618757190136 60.16858530997438
90: -1170.893285581175 -1230.6744901416396 59.78120456046465
91: -1170.8932806837001 -1230.2851904998379 59.39190981613772
92: -1170.8932757172445 -1229.894061041392 59.00078532414747
93: -1170.8932706825087 -1229.501187069879 58.60791638737022
94: -1170.893265580266 -1229.1066549309999 58.21338935073384
95: -1170.8932604113622 -1228.7105519978136 57.81729158645142
96: -1170.8932551767186 -1228.3129666548598 57.41971147814111
97: -1170.8932498773318 -1227.9139882811498 57.02073840381814
98: -1170.8932445142732 -1227.5137072320163 56.62046271774298
99: -1170.893239088696 -1227.1122148198074 56.21897573111143
100: -1170.8932336018268 -1226.7096032934019 55.81636969157506
101: -1170.8932280549768 -1226.3059658165566 55.4127377615799
102: -1170.8932224495318 -1225.901396445045 55.008173995513395
103: -1170.8932167869605 -1225.495990102612 54.60277331565162
104: -1170.8932110688138 -1225.0898425557116 54.196631486897886
105: -1170.8932052967234 -1224.6830503870324 53.78984509030893
106: -1170.8931994723994 -1224.275710967802 53.38251149540279
107: -1170.893193597636 -1223.8679224288821 52.974728831246324
108: -1170.8931876743115 -1223.459783630633 52.566595956321414
109: -1170.893181704383 -1223.051394131553 52.15821242716994
110: -1170.8931756898885 -1222.642854155709 51.74967846582053
111: -1170.8931696329503 -1222.2342645589504 51.3410949260001
112: -1170.8931635357715 -1221.825726793909 50.93256325813755
113: -1170.8931574006297 -1221.4173428737956 50.524185473165964
114: -1170.893151229891 -1221.009215335025 50.116064105133944
115: -1170.8931450259925 -1220.6014471986298 49.708302172637346
116: -1170.893138791456 -1220.1941419305406 49.301003139084614
117: -1170.8931325288745 -1219.7874034006863 48.894270871811784
