Timestep    Total   Potential   Kinetic
0: -1969.5411468689385 -2098.143496681291 128.60234981235237
1: -1969.5411469212386 -2098.1398868148503 128.59873989361176
2: -1969.5411469204807 -2098.1272156380915 128.5860687176107
3: -1969.541146866569 -2098.105483714785 128.56433684821576
4: -1969.5411467593551 -2098.074692701301 128.5335459419459
5: -1969.5411465986347 -2098.0348453486918 128.49369875005704
6: -1969.5411463841588 -2097.98594550549 128.444799121331
7: -1969.5411461156202 -2097.9279981211776 128.3868520055574
8: -1969.5411457926723 -2097.861009250384 128.3198634577118
9: -1969.5411454149125 -2097.784986057735 128.24384064282228
10: -1969.5411449818907 -2097.699936823414 128.15879184152337
11: -1969.5411444931 -2097.60587094939 128.06472645628986
12: -1969.541143947998 -2097.502798966342 127.96165501834406
13: -1969.541143345986 -2097.3907325412188 127.84958919523278
14: -1969.5411426864137 -2097.2696844854777 127.72854179906398
15: -1969.5411419685965 -2097.139668763994 127.59852679539739
16: -1969.541141191792 -2097.00070050457 127.45955931277803
17: -1969.5411403552157 -2096.852796008122 127.31165565290628
18: -1969.541139458036 -2096.695972759467 127.15483330143114
19: -1969.5411384993843 -2096.5302494387442 126.98911093936
20: -1969.541137478335 -2096.3556459334036 126.8145084550685
21: -1969.541136393937 -2096.1721833508404 126.63104695690355
22: -1969.541135245181 -2095.9798840315425 126.4387487863615
23: -1969.5411340310225 -2095.778771562854 126.23763753183182
24: -1969.5411327503841 -2095.5688707932736 126.0277380428896
25: -1969.541131402142 -2095.3502078472643 125.80907644512247
26: -1969.5411299851323 -2095.122810140607 125.58168015547459
27: -1969.5411284981617 -2094.8867063962557 125.34557789809408
28: -1969.5411269399983 -2094.6419266606604 125.10079972066212
29: -1969.5411253093728 -2094.3885023205617 124.84737701118885
30: -1969.5411236049904 -2094.126466120245 124.58534251525457
31: -1969.541121825517 -2093.8558521791942 124.3147303536774
32: -1969.5411199695934 -2093.5766960101805 124.03557604058707
33: -1969.5411180358312 -2093.2890345377114 123.74791650188003
34: -1969.5411160228102 -2092.992906116849 123.45179009403894
35: -1969.541113929094 -2092.688350552381 123.14723662328693
36: -1969.5411117532176 -2092.375409118274 122.8342973650565
37: -1969.5411094936853 -2092.054124577433 122.51301508374767
38: -1969.5411071489943 -2091.7245412017405 122.18343405274625
39: -1969.5411047176212 -2091.3867047923013 121.8456000746801
40: -1969.5411021980149 -2091.0406626998965 121.4995605018816
41: -1969.541099588627 -2090.686463845657 121.14536425702971
42: -1969.5410968878791 -2090.324158741821 120.78306185394186
43: -1969.541094094196 -2089.953799512681 120.41270541848515
44: -1969.541091205985 -2089.57543991556 120.03434870957493
45: -1969.5410882216493 -2089.1891353618803 119.64804714023094
46: -1969.5410851395975 -2088.794942938251 119.2538577986535
47: -1969.5410819582175 -2088.3929214275086 118.85183946929097
48: -1969.5410786759187 -2087.983131329779 118.44205265386044
49: -1969.5410752910977 -2087.5656348833836 118.02455959228595
50: -1969.541071802163 -2087.1404960856835 117.59942428352036
51: -1969.5410682075342 -2086.7077807137434 117.16671250620935
52: -1969.541064505636 -2086.2675563447992 116.72649183916305
53: -1969.5410606949083 -2085.8198923765026 116.27883168159421
54: -1969.5410567738143 -2085.364860046898 115.8238032730835
55: -1969.541052740821 -2084.9025324540517 115.36147971323074
56: -1969.5410485944321 -2084.4329845753837 114.8919359809516
57: -1969.5410443331702 -2083.9562932865465 114.4152489533762
58: -1969.5410399555835 -2083.472537379891 113.93149742430758
59: -1969.5410354602525 -2082.981797582448 113.44076212219547
60: -1969.5410308457922 -2082.484156573375 112.94312572758287
61: -1969.5410261108548 -2081.9796990008304 112.43867288997556
62: -1969.5410212541299 -2081.468511498226 111.92749024409581
63: -1969.5410162743517 -2080.9506826998195 111.40966642546769
64: -1969.541011170301 -2080.4263032555914 110.8852920852904
65: -1969.5410059408077 -2079.8954658453586 110.35445990455078
66: -1969.5410005847518 -2079.358265192081 109.81726460732929
67: -1969.5409951010765 -2078.814798074324 109.27380297324726
68: -1969.5409894887734 -2078.265163337784 108.72417384901064
69: -1969.5409837469083 -2077.709461905907 108.1684781589989
70: -1969.540977874605 -2077.1477967894552 107.60681891485025
71: -1969.5409718710598 -2076.580273095054 107.03930122399422
72: -1969.5409657355422 -2076.0069980326234 106.46603229708116
73: -1969.5409594673954 -2075.4280809216543 105.8871214542589
74: -1969.5409530660447 -2074.8436331962926 105.30268013024774
75: -1969.5409465310015 -2074.253768409164 104.7128218781624
76: -1969.5409398618565 -2073.6586022338893 104.11766237203268
77: -1969.5409330582909 -2073.0582524662636 103.5173194079727
78: -1969.540926120085 -2072.4528390240343 102.91191290394927
79: -1969.5409190471134 -2071.8424839452146 102.301564898101
80: -1969.5409118393452 -2071.2273113849055 101.68639954556035
81: -1969.5409044968621 -2070.6074476105905 101.06654311372826
82: -1969.5408970198412 -2069.9830209957986 100.44212397595737
83: -1969.540889408578 -2069.3541620121723 99.81327260359423
84: -1969.5408816634708 -2068.721003219809 99.18012155633834
85: -1969.5408737850473 -2068.083679255915 98.54280547086749
86: -1969.5408657739433 -2067.442326821636 97.90146104769265
87: -1969.5408576309155 -2066.7970846671083 97.2562270361928
88: -1969.540849356852 -2066.1480935746454 96.60724421779324
89: -1969.5408409527583 -2065.495496340003 95.9546553872444
90: -1969.5408324197822 -2064.839437751745 95.29860533196303
91: -1969.5408237591944 -2064.180064568593 94.63924080939863
92: -1969.5408149723996 -2063.5175254947885 93.97671052238887
93: -1969.540806060944 -2062.851971153416 93.31116509247184
94: -1969.5407970265107 -2062.1835540576303 92.64275703111954
95: -1969.5407878709257 -2061.512428579793 91.97164070886721
96: -1969.5407785961536 -2060.8387509184604 91.29797232230672
97: -1969.5407692043088 -2060.162679063228 90.6219098589193
98: -1969.540759697649 -2059.484372757376 89.94361305972706
99: -1969.5407500785773 -2058.8039934583135 89.26324337973615
100: -1969.5407403496495 -2058.1217042958096 88.58096394616021
101: -1969.540730513572 -2057.437670027975 87.8969395144028
102: -1969.540720573202 -2056.752056994991 87.21133642178911
103: -1969.5407105315394 -2056.0650330705744 86.52432253903493
104: -1969.5407003917467 -2055.376767611194 85.83606721944705
105: -1969.5406901571362 -2054.6874314029865 85.14674124585027
106: -1969.5406798311676 -2053.9971966064077 84.45651677524008
107: -1969.5406694174567 -2053.306236698621 83.7655672811643
108: -1969.5406589197673 -2052.6147264136052 83.07406749383783
109: -1969.54064834202 -2051.922841680022 82.38219333800198
110: -1969.5406376882775 -2051.230759556817 81.69012186853932
111: -1969.5406269627601 -2050.5386581666207 80.99803120386052
112: -1969.5406161698284 -2049.8467166269133 80.30610045708505
113: -1969.540605313988 -2049.1551149790253 79.6145096650373
114: -1969.540594399894 -2048.464034114981 78.92343971508714
115: -1969.540583432342 -2047.7736557022085 78.23307226986655
116: -1969.5405724162617 -2047.084162106159 77.54358968989723
117: -1969.5405613567254 -2046.3957363108937 76.85517495416822
118: -1969.5405502589317 -2045.7085618376398 76.168011578708
119: -1969.5405391282177 -2045.022822661416 75.48228353319838
120: -1969.5405279700408 -2044.3387031257207 74.79817515567994
121: -1969.540516789985 -2043.6563878553925 74.11587106540743
122: -1969.54050559375 -2042.9760616676613 73.43555607391143
123: -1969.540494387154 -2042.2979094814862 72.75741509433219
124: -1969.540483176121 -2041.622116225213 72.08163304909199
125: -1969.54047196668 -2040.9488667426579 71.40839477597805
126: -1969.5404607649639 -2040.2783456976742 70.73788493271043
127: -1969.5404495772002 -2039.6107374772755 70.07028790007529
128: -1969.5404384096944 -2038.9462260934008 69.40578768370649
129: -1969.5404272688518 -2038.2849950834518 68.74456781460005
130: -1969.5404161611439 -2037.6272274096 68.08681124845609
