Timestep    Total   Potential   Kinetic
123: -623.3911358357446 -650.3568005073207 26.96566467157606
124: -623.3911317317811 -650.1185013840987 26.727369652317662
125: -623.3911276178272 -649.880973806698 26.48984618887072
126: -623.3911234960386 -649.6442859266077 26.25316243056907
127: -623.391119368618 -649.4085059569236 26.017386588305587
128: -623.3911152378114 -649.1737021374341 25.78258689962276
129: -623.3911111059064 -648.9399426990686 25.548831593162316
130: -623.391106975233 -648.7072958277336 25.316188852500584
131: -623.3911028481588 -648.4758296275552 25.084726779396433
132: -623.3910987270883 -648.2456120835701 24.854513356481736
133: -623.391094614462 -648.0167110238855 24.62561640942354
134: -623.3910905127507 -647.7891940813414 24.398103568590756
135: -623.3910864244581 -647.5631286547161 24.17204223025804
136: -623.3910823521136 -647.3385818694951 23.947499517381512
137: -623.3910782982745 -647.1156205382566 23.72454223998212
138: -623.3910742655196 -646.8943111206935 23.503236855173903
139: -623.3910702564483 -646.6747196833236 23.28364942687534
140: -623.3910662736788 -646.4569118589222 23.065845585243412
141: -623.3910623198435 -646.2409528057149 22.849890485871367
142: -623.3910583975882 -646.0269071663795 22.635848768791373
143: -623.3910545095664 -645.8148390268922 22.423784517325814
144: -623.3910506584401 -645.6048118752702 22.21376121683007
145: -623.391046846874 -645.3968885602466 22.005841713372494
146: -623.3910430775317 -645.1911312499283 21.80008817239664
147: -623.3910393530775 -644.9876013904899 21.596562037412347
148: -623.3910356761668 -644.7863596649296 21.39532398876286
149: -623.3910320494472 -644.5874659519628 21.196433902515697
150: -623.391028475554 -644.3909792850797 20.999950809525707
151: -623.3910249571069 -644.1969578118261 20.805932854719178
152: -623.3910214967079 -644.0054587533559 20.614437256648035
153: -623.3910180969357 -643.8165383642997 20.425520267364007
154: -623.3910147603432 -643.6302518930055 20.239237132662286
155: -623.3910114894568 -643.4466535422014 20.05564205274464
156: -623.3910082867691 -643.2657964301213 19.874788143352276
157: -623.3910051547376 -643.0877325521553 19.696727397417753
158: -623.391002095783 -642.9125127430693 19.521510647286334
159: -623.3909991122819 -642.7401866398378 19.34918752755598
160: -623.3909962065669 -642.5708026451522 19.179806438585253
161: -623.3909933809235 -642.4044078916414 19.0134145107179
162: -623.3909906375832 -642.2410482068557 18.85005756927247
163: -623.3909879787266 -642.0807680790708 18.689780100344272
164: -623.3909854064729 -641.9236106239398 18.53262521746697
165: -623.3909829228825 -641.769617552062 18.37863462917944
166: -623.3909805299542 -641.6188291374976 18.22784860754345
167: -623.3909782296174 -641.4712841872732 18.080305957655863
168: -623.390976023735 -641.3270200119337 17.936043988198698
169: -623.3909739140944 -641.1860723971631 17.795098483068774
170: -623.3909719024127 -641.0484755765401 17.657503674127437
171: -623.3909699903285 -640.9142622054379 17.52329221510945
172: -623.3909681794007 -640.7834633361296 17.39249515672887
173: -623.3909664711065 -640.6561083941247 17.265141923018156
174: -623.3909648668396 -640.5322251557742 17.141260288934635
175: -623.3909633679081 -640.4118397271757 17.0208763592676
176: -623.3909619755312 -640.2949765244082 16.90401454887698
177: -623.3909606908402 -640.1816582551328 16.790697564292557
178: -623.3909595148739 -640.0719059015754 16.680946386701503
179: -623.390958448578 -639.9657387049272 16.574780256349225
180: -623.3909574928049 -639.8631741511821 16.47221665837718
181: -623.3909566483097 -639.7642279584285 16.373271310118746
182: -623.3909559157519 -639.6689140656243 16.27795814987242
183: -623.3909552956947 -639.5772446228641 16.18628932716948
184: -623.3909547885991 -639.4892299831499 16.098275194550855
185: -623.3909543948294 -639.4048786956953 16.01392430086593
186: -623.3909541146503 -639.3241975007538 15.933243386103543
187: -623.3909539482237 -639.2471913259874 15.85623737776368
188: -623.3909538956141 -639.1738632843894 15.782909388775332
189: -623.3909539567833 -639.1042146737477 15.7132607169644
190: -623.3909541315938 -639.0382449776667 15.647290846072876
191: -623.3909544198061 -638.9759518681345 15.58499744832838
192: -623.3909548210825 -638.9173312096432 15.526376388560696
193: -623.3909553349855 -638.8623770648455 15.471421729860038
194: -623.3909559609779 -638.811081701747 15.420125740769047
195: -623.3909566984241 -638.763435602423 15.372478903998841
196: -623.3909575465938 -638.7194274732504 15.328469926656652
197: -623.390958504658 -638.679044256629 15.288085751971092
198: -623.3909595716941 -638.6422711441925 15.251311572498375
199: -623.3909607466863 -638.6090915914774 15.21813084479109
200: -623.3909620285267 -638.5794873340357 15.188525305509016
201: -623.390963416016 -638.5534384049655 15.162474988949448
202: -623.390964907868 -638.5309231538406 15.139958245972613
203: -623.3909665027086 -638.5119182670045 15.12095176429595
204: -623.390968199079 -638.496398789208 15.105430590129034
205: -623.3909699954372 -638.4843381465569 15.093368151119607
206: -623.3909718901624 -638.4757081707412 15.084736280578792
207: -623.390973881554 -638.470479124507 15.079505242953006
208: -623.3909759678355 -638.468619728343 15.077643760507545
209: -623.3909781471576 -638.4700971883436 15.07911904118604
210: -623.3909804176 -638.4748772252083 15.083896807608367
211: -623.3909827771736 -638.482924104342 15.091941327168493
212: -623.3909852238241 -638.4942006670165 15.103215443192344
213: -623.3909877554356 -638.5086683625503 15.117680607114718
214: -623.3909903698296 -638.5262872814633 15.135296911633612
215: -623.3909930647724 -638.5470161895711 15.15602312479874
216: -623.3909958379754 -638.5708125629662 15.17981672499086
217: -623.3909986870997 -638.597632623847 15.206633936747238
218: -623.3910016097575 -638.6274313771459 15.236429767388406
219: -623.3910046035146 -638.6601626479148 15.269158044400267
220: -623.391007665897 -638.6957791194226 15.304771453525579
221: -623.3910107943901 -638.7342323719083 15.34322157751823
222: -623.3910139864439 -638.7754729219573 15.384458935513393
223: -623.3910172394753 -638.8194502624418 15.428433022966475
224: -623.3910205508718 -638.8661129029855 15.475092352113743
225: -623.3910239179935 -638.9154084109007 15.524384492907162
