Timestep    Total   Potential   Kinetic
0: -3068.402584992545 -3262.050166747421 193.64758175487592
1: -3068.402584947305 -3262.0497719129517 193.64718696564665
2: -3068.4025848022525 -3262.034602309416 193.6320175071635
3: -3068.4025845571805 -3262.004660865576 193.6020763083959
4: -3068.4025842118344 -3261.959952507547 193.55736829571242
5: -3068.402583765847 -3261.9004841625065 193.4979003966594
6: -3068.402583218783 -3261.8262647636425 193.42368154485925
7: -3068.40258257011 -3261.737305256152 193.33472268604189
8: -3068.402581819231 -3261.6336186044136 193.23103678518294
9: -3068.40258096547 -3261.515219800232 193.1126388347621
10: -3068.4025800080494 -3261.382125872164 192.97954586411487
11: -3068.402578946122 -3261.2343558960038 192.83177694988188
12: -3068.40257777878 -3261.071931006315 192.6693532275349
13: -3068.402576505014 -3260.894874408989 192.49229790397462
14: -3068.402575123742 -3260.7032113949203 192.30063627117872
15: -3068.402573633813 -3260.496969354708 192.09439572089508
16: -3068.4025720339996 -3260.2761777943547 191.87360576035516
17: -3068.4025703229954 -3260.0408683519877 191.6382980289922
18: -3068.4025684994344 -3259.791074815587 191.3885063161525
19: -3068.402566561864 -3259.5268331416314 191.12426657976707
20: -3068.402564508765 -3259.2481814747402 190.8456169659755
21: -3068.402562338563 -3258.955160168231 190.55259782966803
22: -3068.4025600496116 -3258.6478118055393 190.24525175592763
23: -3068.4025576401923 -3258.326181222541 189.92362358234868
24: -3068.402555108533 -3257.9903155307297 189.58776042219677
25: -3068.4025524527924 -3257.6402641411846 189.2377116883923
26: -3068.402549671079 -3257.2760787893562 188.87352911827685
27: -3068.4025467614515 -3256.897813560593 188.49526679914163
28: -3068.4025437218984 -3256.5055249163765 188.1029811944783
29: -3068.402540550359 -3256.09927172128 187.69673117092069
30: -3068.4025372447386 -3255.679115270581 187.27657802584233
31: -3068.402533802879 -3255.245119318451 186.8425855155719
32: -3068.4025302225814 -3254.797350106771 186.39481988418967
33: -3068.4025265016157 -3254.3358763944784 185.9333498928627
34: -3068.4025226377 -3253.860769487379 185.4582468496793
35: -3068.4025186285353 -3253.3721032684753 184.96958463993985
36: -3068.402514471761 -3252.86995422862 184.46743975685857
37: -3068.402510165008 -3252.354401497639 183.95189133263116
38: -3068.4025057058825 -3251.825526875703 183.42302116982057
39: -3068.4025010919568 -3251.283414864968 182.88091377301157
40: -3068.4024963208053 -3250.7281527014916 182.32565638068627
41: -3068.402491389949 -3250.1598303872124 181.75733899726353
42: -3068.4024862969272 -3249.578540722182 181.1760544252547
43: -3068.4024810392652 -3248.9843793367413 180.58189829747624
44: -3068.402475614481 -3248.377444723746 179.9749691092651
45: -3068.4024700200903 -3247.7578382707284 179.3553682506383
46: -3068.4024642536115 -3247.1256642919493 178.7232000383377
47: -3068.40245831257 -3246.481030060267 178.07857174769714
48: -3068.402452194518 -3245.8240458387913 177.42159364427354
49: -3068.4024458970052 -3245.1548249121784 176.75237901517312
50: -3068.4024394176085 -3244.473483617622 176.0710442000137
51: -3068.402432753932 -3243.7801413753805 175.37770862144882
52: -3068.4024259036087 -3243.0749207188037 174.67249481519482
53: -3068.4024188643093 -3242.357947323792 173.9555284594827
