Timestep    Total   Potential   Kinetic
0: -4506.35062977752 -4792.694346441027 286.34371666350626
1: -4506.350629828066 -4792.690681979114 286.3400521510472
2: -4506.350629723149 -4792.664526286503 286.3138965633544
3: -4506.350629462589 -4792.615882582714 286.2652531201258
4: -4506.350629046069 -4792.544757196405 286.1941281503361
5: -4506.35062847316 -4792.451159569604 286.1005310964441
6: -4506.35062774327 -4792.335102263675 285.98447452040523
7: -4506.350626855707 -4792.196600967176 285.84597411146945
8: -4506.350625809632 -4792.035674505402 285.68504869576986
9: -4506.350624604087 -4791.852344851769 285.50172024768153
10: -4506.350623237953 -4791.646637140893 285.2960139029402
11: -4506.350621710036 -4791.418579683549 285.06795797351344
12: -4506.350620018985 -4791.1682039831785 284.8175839641939
13: -4506.35061816333 -4790.8955447542385 284.54492659090806
14: -4506.350616141453 -4790.600639942169 284.2500238007162
15: -4506.350613951674 -4790.283530745151 283.93291679347715
16: -4506.3506115921255 -4789.9442616372835 283.5936500451582
17: -4506.350609060866 -4789.582880393626 283.23227133275986
18: -4506.350606355824 -4789.199438116656 282.84883176083184
19: -4506.350603474812 -4788.793989264352 282.44338578953966
20: -4506.350600415532 -4788.366591679792 282.0159912642594
21: -4506.350597175603 -4787.917306622261 281.56670944665774
22: -4506.350593752484 -4787.44619879971 281.0956050472257
23: -4506.350590143565 -4786.953336402786 280.6027462592212
24: -4506.350586346141 -4786.438791140123 280.0882047939815
25: -4506.350582357384 -4785.902638274946 279.5520559175623
26: -4506.350578174402 -4785.344956663059 278.9943784886575
27: -4506.350573794183 -4784.76582879193 278.4152549977473
28: -4506.350569213644 -4784.1653408210705 277.81477160742605
29: -4506.350564429617 -4783.543582623482 277.1930181938642
30: -4506.35055943884 -4782.900647828174 276.5500883893343
31: -4506.350554237987 -4782.236633863744 275.886079625757
32: -4506.350548823651 -4781.55164200285 275.2010931791994
33: -4506.350543192387 -4780.845777407655 274.49523421526857
34: -4506.350537340631 -4780.11914917596 273.7686118353295
35: -4506.350531264813 -4779.3718703883 273.0213391234865
36: -4506.350524961278 -4778.6040581555335 272.2535331942551
37: -4506.350518426338 -4777.81583366719 271.46531524085265
38: -4506.350511656245 -4777.007322240283 270.65681058403914
39: -4506.35050464722 -4776.178653368639 269.8281487214193
40: -4506.350497395446 -4775.329960772587 268.97946337714035
41: -4506.3504898971105 -4774.461382449005 268.1108925518948
42: -4506.350482148324 -4773.573060721475 267.22257857315117
43: -4506.350474145209 -4772.665142290725 266.31466814551686
44: -4506.35046588388 -4771.737778285037 265.3873124011572
45: -4506.35045736045 -4770.791124310617 264.44066695016784
46: -4506.350448571029 -4769.825340501839 263.4748919308097
47: -4506.350439511712 -4768.840591571236 262.49015205952367
48: -4506.350430178662 -4767.837046859262 261.4866166806007
49: -4506.35042056802 -4766.814880383453 260.4644598154329
50: -4506.3504106759765 -4765.774270887205 259.4238602112281
51: -4506.350400498742 -4764.715401887826 258.365001389085
52: -4506.350390032591 -4763.638461723919 257.2880716913276
53: -4506.35037927384 -4762.54364360182 256.19326432797936
54: -4506.350368218881 -4761.431145641157 255.0807774222761
55: -4506.35035686414 -4760.301170919237 253.95081405509686
56: -4506.350345206129 -4759.153927514329 252.8035823082002
57: -4506.350333241468 -4757.989628547618 251.63929530614968
58: -4506.350320966837 -4756.808492223641 250.45817125680435
59: -4506.350308379037 -4755.610741869296 249.26043349025932
60: -4506.350295474955 -4754.396605971066 248.04631049611055
61: -4506.350282251621 -4753.166318210541 246.81603595892037
62: -4506.350268706165 -4751.920117497922 245.5698487917568
63: -4506.350254835856 -4750.6582480035395 244.30799316768343
64: -4506.350240638132 -4749.3809591872 243.03071854906747
65: -4506.350226110533 -4748.088505825114 241.73827971458064
66: -4506.350211250808 -4746.781148034566 240.43093678375877
67: -4506.350196056836 -4745.459151295829 239.10895523899336
68: -4506.35018052669 -4744.122786471511 237.7726059448215
69: -4506.350164658656 -4742.7723298230385 236.4221651643832
70: -4506.3501484511635 -4741.408063024073 235.0579145729098
71: -4506.350131902883 -4740.0302731710035 233.68014126812054
72: -4506.350115012692 -4738.639252790073 232.28913777738157
73: -4506.3500977796775 -4737.235299841188 230.88520206151077
74: -4506.350080203186 -4735.818717718268 229.46863751508243
75: -4506.35006228278 -4734.389815245891 228.03975296311174
76: -4506.350044018287 -4732.948906672268 226.59886265398106
77: -4506.350025409782 -4731.49631165827 225.14628624848874
78: -4506.350006457594 -4730.032355262474 223.68234880488075
79: -4506.349987162378 -4728.557367922128 222.20738075974995
80: -4506.349967525032 -4727.071685429707 220.72171790467448
81: -4506.3499475467415 -4725.5756489052155 219.2257013584738
82: -4506.3499272290155 -4724.069604763977 217.71967753496162
83: -4506.3499065736705 -4722.553904679754 216.20399810608322
